case_id,replicate_id,temperature,time_months,content_percent
robust_01,0,25.0000,0.0000,101.026248
robust_01,0,25.0000,12.0000,97.887154
robust_01,0,25.0000,24.0000,96.047363
robust_01,0,25.0000,36.0000,93.633853
robust_01,1,25.0000,0.0000,101.001916
robust_01,1,25.0000,12.0000,98.917178
robust_01,1,25.0000,24.0000,97.352556
robust_01,1,25.0000,36.0000,95.330780
robust_01,2,25.0000,0.0000,97.621517
robust_01,2,25.0000,12.0000,96.588455
robust_01,2,25.0000,24.0000,97.310722
robust_01,2,25.0000,36.0000,95.200459
robust_01,3,25.0000,0.0000,97.574436
robust_01,3,25.0000,12.0000,98.109032
robust_01,3,25.0000,24.0000,95.611160
robust_01,3,25.0000,36.0000,95.802766
robust_01,4,25.0000,0.0000,97.987091
robust_01,4,25.0000,12.0000,96.764533
robust_01,4,25.0000,24.0000,98.012212
robust_01,4,25.0000,36.0000,94.730541
robust_01,5,25.0000,0.0000,96.885792
robust_01,5,25.0000,12.0000,99.133688
robust_01,5,25.0000,24.0000,94.122431
robust_01,5,25.0000,36.0000,95.773239
robust_01,6,25.0000,0.0000,99.618514
robust_01,6,25.0000,12.0000,96.215855
robust_01,6,25.0000,24.0000,95.284526
robust_01,6,25.0000,36.0000,94.718142
robust_01,7,25.0000,0.0000,100.958786
robust_01,7,25.0000,12.0000,98.450193
robust_01,7,25.0000,24.0000,99.297161
robust_01,7,25.0000,36.0000,93.357707
robust_01,8,25.0000,0.0000,102.458404
robust_01,8,25.0000,12.0000,100.414749
robust_01,8,25.0000,24.0000,96.993622
robust_01,8,25.0000,36.0000,93.710873
robust_01,9,25.0000,0.0000,97.481631
robust_01,9,25.0000,12.0000,101.261021
robust_01,9,25.0000,24.0000,93.342596
robust_01,9,25.0000,36.0000,91.909550
robust_01,10,25.0000,0.0000,103.227844
robust_01,10,25.0000,12.0000,95.299972
robust_01,10,25.0000,24.0000,96.973926
robust_01,10,25.0000,36.0000,92.610044
robust_01,11,25.0000,0.0000,94.851788
robust_01,11,25.0000,12.0000,97.050946
robust_01,11,25.0000,24.0000,95.999333
robust_01,11,25.0000,36.0000,90.611731
robust_01,12,25.0000,0.0000,101.523445
robust_01,12,25.0000,12.0000,96.866366
robust_01,12,25.0000,24.0000,94.084775
robust_01,12,25.0000,36.0000,90.097987
robust_01,13,25.0000,0.0000,101.529465
